Timepoint,Treatment,,Cell Subtype
D14,ETX,Intermediate monocyte,0.01430509310642496
D14,ETX,Interstitial macrophage,0.013565174497471945
D14,ETX,Arterial EC,0.013318534961154272
D14,ETX,Myofibroblast,0.010112220989024541
D14,ETX,Proliferateive Cap,0.008262424466642002
D14,ETX,Neutrophil,0.005302750030829942
D14,ETX,AT1_AT2,0.005302750030829942
D14,ETX,Mesothelial,0.004932790726353434
D14,ETX,Proliferating fibroblast,0.004686151190035763
D14,ETX,Lymphatic EC,0.003946232581082748
D14,ETX,Ciliated,0.00357627327660624
D14,ETX,Proliferating myofibroblast,0.0034529535084474043
D14,ETX,Pericyte,0.002466395363176717
D14,ETX,Proliferating vascular smooth muscle,0.0012331976815883586
D14,ETX,Basal,0.0
D14,ETX,Proliferating pericyte,0.0
D14,ETX,ASM MyoF precursor,0.0
E20,CTL,Alveolar fibroblast,0.20070401877383398
E20,CTL,AT2,0.1217365796421238
E20,CTL,AT1,0.11610442945145204
E20,CTL,ASM MyoF precursor,0.10847755940158404
E20,CTL,Proliferating fibroblast,0.08330888823701965
E20,CTL,Myofibroblast,0.05426811381636844
E20,CTL,Adventitial fibroblast,0.044529187444998536
E20,CTL,Proliferating myofibroblast,0.04323848635963626
E20,CTL,Club,0.04171311234966266
E20,CTL,Capillary-g,0.02927544734526254
E20,CTL,Pericyte,0.02434731592842476
E20,CTL,Proliferateive Cap,0.021472572601936052
E20,CTL,Alveolar macrophage,0.020885890290407744
E20,CTL,Proliferating pericyte,0.01760046934584922
E20,CTL,Airway smooth muscle,0.011440305074801994
E20,CTL,Ciliated,0.01026694045174538
E20,CTL,Vascular smooth muscle,0.008682898210618949
E20,CTL,Interstitial macrophage,0.008330888823701966
E20,CTL,Arterial EC,0.006864183044881197
E20,CTL,Intermediate monocyte,0.00475212672337929
E20,CTL,Lymphatic EC,0.003402757406864183
E20,CTL,Venous EC,0.0033440891757113523
E20,CTL,Neutrophil,0.0032267527134056907
E20,CTL,Basal,0.00316808448225286
E20,CTL,Mesothelial,0.0017600469345849222
E20,CTL,NK cell,0.0016427104722792608
E20,CTL,AT1_AT2,0.00158404224112643
E20,CTL,Proliferating vascular smooth muscle,0.0015253740099735993
E20,CTL,B cell,0.001408037547667938
E20,CTL,Monocyte,0.00046934584922264595
E20,CTL,Proliferating macrophage,0.0004106776180698152
E20,CTL,T cell,5.8668231152830744e-05
E20,CTL,Capillary-a,0.0
